Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_110","22093","LAMBALLE","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_111","22098","LANDEHEN","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_112","22140","MALHOURE (LA)","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_113","22151","MESLIN","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_114","22160","NOYAL","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_115","22246","POMMERET","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_116","22261","QUINTENIC","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_117","22326","SAINT-RIEUL","","LAMBALLE","Collège ""Gustave Téry""","20 Rue St Martin","BP 50318","Cedex","22403","22093"
"SECT_118","22030","CAOUENNEC-LANVEZEAC","","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
"SECT_119","22110","LANMERIN","","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
"SECT_12","22005","BELLE ISLE EN TERRE","","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
"SECT_120","22113","LANNION","à l'exception du secteur Nord-Ouest délimité par la route de PERROS GUIREC - Avenue de la Résistance - rue de Placenn Ar Guer - rue de St Ugeon - rue de Krec'h Huet - rue de Pors An Prat -rue Le Bourdon - rue de la Trinité - Quai de Viarmes - Quai du Maréchal Joffre - Avenue du général de Gaulle – rue Trorozec et voix ferrée","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
"SECT_121","22211","PLOUBEZRE","","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
"SECT_122","22265","ROSPEZ","","LANNION","Collège ""Yves Coppens""","Rue Yves Coppens","","","22300","22113"
